timestamp, userId, event, message
2025-11-10T21:03:27.810151800+01:00[Europe/Vienna], brave-otter, STOP_TRACKING, previously tracking: true
2025-11-10T21:03:37.016879870+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:03:52.537846872+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:04:06.908588137+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:04:22.883832366+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:04:37.189580548+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:04:52.870675680+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:05:07.186888414+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:05:22.934938951+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:05:37.587980972+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:05:51.955234360+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:06:07.722372174+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:06:22.038866526+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:06:37.819307089+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:06:38.431367772+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/start_tracking
2025-11-10T21:06:38.433593515+01:00[Europe/Vienna], brave-otter, START_TRACKING, previously tracking: false
2025-11-10T21:06:39.016482769+01:00[Europe/Vienna], undefined, ACCESS, resource: /api/userId/stop_tracking
2025-11-10T21:06:39.018089941+01:00[Europe/Vienna], unknown, INVALID_USER, userId: undefined
2025-11-10T21:06:40.115857902+01:00[Europe/Vienna], undefined, ACCESS, resource: /api/userId/stop_tracking
2025-11-10T21:06:40.117656701+01:00[Europe/Vienna], unknown, INVALID_USER, userId: undefined
2025-11-10T21:06:52.097859242+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:07:00.068016378+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/stop_tracking
2025-11-10T21:07:00.069960709+01:00[Europe/Vienna], brave-otter, STOP_TRACKING, previously tracking: true
2025-11-10T21:07:01.894288169+01:00[Europe/Vienna], undefined, ACCESS, resource: /api/userId/start_tracking
2025-11-10T21:07:01.896186580+01:00[Europe/Vienna], unknown, INVALID_USER, userId: undefined
2025-11-10T21:07:02.721987058+01:00[Europe/Vienna], undefined, ACCESS, resource: /api/userId/start_tracking
2025-11-10T21:07:02.723814705+01:00[Europe/Vienna], unknown, INVALID_USER, userId: undefined
2025-11-10T21:07:07.953937285+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:07:22.260999306+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:07:37.993946413+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:07:52.552386512+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:08:07.003414422+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:08:22.430804915+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:08:36.995521803+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:08:52.829299455+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:08:54.832309334+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/state
2025-11-10T21:08:56.475572427+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/start_tracking
2025-11-10T21:08:56.488262211+01:00[Europe/Vienna], brave-otter, START_TRACKING, previously tracking: false
2025-11-10T21:08:57.302128978+01:00[Europe/Vienna], brave-otter, ACCESS, resource: /api/userId/stop_tracking
2025-11-10T21:08:57.315030156+01:00[Europe/Vienna], brave-otter, STOP_TRACKING, previously tracking: true
